,,winning_home,winning_away
Chelsea,10,89.47368421052632,52.63157894736842
Manchester United,10,84.21052631578947,57.89473684210527
Arsenal,10,78.94736842105263,42.10526315789473
Tottenham Hotspur,10,73.68421052631578,36.84210526315789
Manchester City,10,63.1578947368421,31.57894736842105
Aston Villa,10,42.10526315789473,47.368421052631575
Liverpool,10,68.42105263157895,26.31578947368421
Everton,10,57.89473684210527,26.31578947368421
Birmingham City,10,42.10526315789473,26.31578947368421
Blackburn Rovers,10,52.63157894736842,15.789473684210526
Stoke City,10,36.84210526315789,21.052631578947366
Fulham,10,57.89473684210527,5.263157894736842
Sunderland,10,47.368421052631575,10.526315789473683
Bolton Wanderers,10,31.57894736842105,21.052631578947366
Wolverhampton Wanderers,10,26.31578947368421,21.052631578947366
Wigan Athletic,10,31.57894736842105,15.789473684210526
West Ham United,10,36.84210526315789,5.263157894736842
Burnley,10,36.84210526315789,5.263157894736842
Hull City,10,31.57894736842105,0.0
Portsmouth,10,26.31578947368421,10.526315789473683
