,,winning_games_home,losing_games_Home
Chelsea,10,89.47368421052632,5.263157894736842
Manchester United,10,84.21052631578947,10.526315789473683
Arsenal,10,78.94736842105263,10.526315789473683
Tottenham Hotspur,10,73.68421052631578,15.789473684210526
Manchester City,10,63.1578947368421,15.789473684210526
Aston Villa,10,42.10526315789473,15.789473684210526
Liverpool,10,68.42105263157895,15.789473684210526
Everton,10,57.89473684210527,10.526315789473683
Birmingham City,10,42.10526315789473,10.526315789473683
Blackburn Rovers,10,52.63157894736842,15.789473684210526
Stoke City,10,36.84210526315789,31.57894736842105
Fulham,10,57.89473684210527,26.31578947368421
Sunderland,10,47.368421052631575,15.789473684210526
Bolton Wanderers,10,31.57894736842105,36.84210526315789
Wolverhampton Wanderers,10,26.31578947368421,42.10526315789473
Wigan Athletic,10,31.57894736842105,31.57894736842105
West Ham United,10,36.84210526315789,36.84210526315789
Burnley,10,36.84210526315789,36.84210526315789
Hull City,10,31.57894736842105,36.84210526315789
Portsmouth,10,26.31578947368421,57.89473684210527
